dataset,scenario,seed,model,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,trace_sha256
ton_iot,drift,37,LightLR,50000,0.97922,0.9760181508791832,0.9736240548619659,0.9657558139534884,0.9696739733224365,0.9935864958522405,0.9895689762131246,32350,450,589,16611,adf27ea882a171dd67851274df03d1ed3bb480aa3463b6ba575964c2b0a2d6a1
ton_iot,drift,37,MedRF,50000,0.98836,0.9902984968803177,0.9704450232136791,0.9965116279069768,0.9833056049566864,0.9962213769143504,0.9907189180774675,32278,522,60,17140,adf27ea882a171dd67851274df03d1ed3bb480aa3463b6ba575964c2b0a2d6a1
ton_iot,drift,37,HeavyMLP,50000,0.98808,0.9888822319909245,0.9743457890526797,0.991453488372093,0.9828251973949629,0.9918727293675552,0.988573520930189,32351,449,147,17053,adf27ea882a171dd67851274df03d1ed3bb480aa3463b6ba575964c2b0a2d6a1
ton_iot,drift,53,TinyDT,50000,0.5555,0.6606650595575723,0.4361450682390017,0.9977325581395349,0.6069641183440324,0.9905241128403288,0.9696031772183932,10614,22186,39,17161,6c94334b6f0829014c1a36a436ec161ba5fa1926be4cfa075b53258f23e24943
ton_iot,drift,53,LightLR,50000,0.97934,0.9760404849688031,0.9742446465239073,0.9654651162790697,0.9698350124105709,0.9934928779069768,0.9898199486384669,32361,439,594,16606,6c94334b6f0829014c1a36a436ec161ba5fa1926be4cfa075b53258f23e24943
ton_iot,drift,53,MedRF,50000,0.9889,0.9908483408961997,0.9713962050410648,0.997093023255814,0.9840768899727442,0.9963742121029495,0.9909139239053366,32295,505,50,17150,6c94334b6f0829014c1a36a436ec161ba5fa1926be4cfa075b53258f23e24943
ton_iot,drift,53,HeavyMLP,50000,0.98776,0.9883065087918321,0.9747567258156841,0.9900581395348838,0.9823478511681569,0.9908542789279636,0.9872333793381867,32359,441,171,17029,6c94334b6f0829014c1a36a436ec161ba5fa1926be4cfa075b53258f23e24943
ton_iot,drift,71,TinyDT,50000,0.55468,0.6600124078275666,0.4356845419459679,0.9976162790697675,0.6064965361232857,0.9903030709373228,0.969399285184773,10575,22225,41,17159,c1a4a42af6f6b8340fff0568233488f9eaf6c007e31ee5e1d2c290553419bada
ton_iot,drift,71,LightLR,50000,0.97908,0.9758837918321044,0.9733356774496015,0.9656395348837209,0.9694723324772356,0.9938349501914352,0.9887676058586141,32345,455,591,16609,c1a4a42af6f6b8340fff0568233488f9eaf6c007e31ee5e1d2c290553419bada
ton_iot,drift,71,MedRF,50000,0.98868,0.9906668321043675,0.9708446557971014,0.9970348837209302,0.9837654887563102,0.9966643664917754,0.9917505532850258,32285,515,51,17149,c1a4a42af6f6b8340fff0568233488f9eaf6c007e31ee5e1d2c290553419bada
ton_iot,drift,71,HeavyMLP,50000,0.98778,0.988750354509359,0.9731333067138213,0.9918604651162791,0.9824076473467508,0.9922498245178673,0.9886845304129436,32329,471,140,17060,c1a4a42af6f6b8340fff0568233488f9eaf6c007e31ee5e1d2c290553419bada
ton_iot,drift,89,TinyDT,50000,0.55688,0.6618136698808849,0.4369337269673216,0.998139534883721,0.6078028747433265,0.9917125079764606,0.9731950641665024,10676,22124,32,17168,d527039db6b90f2a26bbd6d3f67ee8788b47a808691668347de1ea9ba1c9e685
ton_iot,drift,89,LightLR,50000,0.98022,0.9768079977311401,0.9763737878342639,0.9658720930232558,0.9710945491743388,0.994213890562961,0.9906899093115593,32398,402,587,16613,d527039db6b90f2a26bbd6d3f67ee8788b47a808691668347de1ea9ba1c9e685
